15	10	E	-9223384.010276219	163
emissionprobs	2	2	H3K04me3	0	0.9999678257902299
emissionprobs	2	2	H3K04me3	1	3.217420977016989E-5
emissionprobs	2	3	H3K09ac	0	0.9999523335254258
emissionprobs	2	3	H3K09ac	1	4.766647457421028E-5
emissionprobs	2	4	H3K09me3	0	0.9947781149263942
emissionprobs	2	4	H3K09me3	1	0.0052218850736058505
emissionprobs	2	5	H3K27ac	0	0.9998869125508626
emissionprobs	2	5	H3K27ac	1	1.1308744913732395E-4
emissionprobs	2	6	H3K27me3	0	0.9950668635819744
emissionprobs	2	6	H3K27me3	1	0.0049331364180255485
emissionprobs	2	7	H3K36me3	0	0.9990306118314882
emissionprobs	2	7	H3K36me3	1	9.693881685117363E-4
emissionprobs	2	8	H3K79me2	0	0.9998086100074608
emissionprobs	2	8	H3K79me2	1	1.9138999253910384E-4
emissionprobs	2	9	H4K20me1	0	0.9984333475758413
emissionprobs	2	9	H4K20me1	1	0.0015666524241586084
emissionprobs	3	0	H3K04me1	0	0.9990478418079437
emissionprobs	3	0	H3K04me1	1	9.521581920563097E-4
emissionprobs	3	1	H3K04me2	0	0.9997803759400882
emissionprobs	3	1	H3K04me2	1	2.1962405991190727E-4
emissionprobs	3	2	H3K04me3	0	0.9997762104014164
emissionprobs	3	2	H3K04me3	1	2.2378959858357624E-4
emissionprobs	3	3	H3K09ac	0	0.9999540343065026
emissionprobs	3	3	H3K09ac	1	4.596569349733645E-5
emissionprobs	3	4	H3K09me3	0	0.6974934039242173
emissionprobs	3	4	H3K09me3	1	0.30250659607578273
emissionprobs	3	5	H3K27ac	0	0.9999244331238619
emissionprobs	3	5	H3K27ac	1	7.556687613808128E-5
emissionprobs	3	6	H3K27me3	0	0.9943816910613903
emissionprobs	3	6	H3K27me3	1	0.00561830893860967
emissionprobs	3	7	H3K36me3	0	0.9921035268243471
emissionprobs	3	7	H3K36me3	1	0.007896473175652842
emissionprobs	3	8	H3K79me2	0	0.9997694211307819
emissionprobs	3	8	H3K79me2	1	2.305788692181232E-4
emissionprobs	3	9	H4K20me1	0	0.997954463422499
emissionprobs	3	9	H4K20me1	1	0.0020455365775008338
emissionprobs	4	0	H3K04me1	0	0.9745081612686679
emissionprobs	4	0	H3K04me1	1	0.02549183873133205
emissionprobs	4	1	H3K04me2	0	0.996869362809976
emissionprobs	4	1	H3K04me2	1	0.0031306371900240966
emissionprobs	4	2	H3K04me3	0	0.9803871421943917
emissionprobs	4	2	H3K04me3	1	0.019612857805608407
emissionprobs	4	3	H3K09ac	0	0.9953123559041238
emissionprobs	4	3	H3K09ac	1	0.004687644095876077
emissionprobs	4	4	H3K09me3	0	0.2163310263217074
emissionprobs	4	4	H3K09me3	1	0.7836689736782926
